panel,row_type,peptide_id,cluster_id,outer_fold,endpoint,model,actual_log10,predicted_log10,pooled_mae_log10,spearman_rho,r_squared,ridge_mae_log10,nn_mae_log10,mae_delta_log10,ci_lower,ci_upper,confidence_level,bootstrap_resamples,bootstrap_seed
A,oof_prediction,seq_pep81,SC002,2,GCGR,component_weighted_ridge,2.845098040014257,2.525082737931684,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep82,SC002,2,GCGR,component_weighted_ridge,1.7566361082458481,2.2411078571805474,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep83,SC002,2,GCGR,component_weighted_ridge,0.5550944485783191,2.428218832325341,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep84,SC002,2,GCGR,component_weighted_ridge,0.7831886910752576,2.368617431353016,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep85,SC002,2,GCGR,component_weighted_ridge,0.7730546933642626,2.4812701627568092,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep86,SC002,2,GCGR,component_weighted_ridge,0.456366033129043,1.8969273514664615,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep87,SC002,2,GCGR,component_weighted_ridge,1.14921911265538,2.144131867694915,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep88,SC002,2,GCGR,component_weighted_ridge,2.941511432634403,2.320653810630094,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep89,SC002,2,GCGR,component_weighted_ridge,0.414973347970818,2.089762928595727,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep9,SC006,3,GCGR,component_weighted_ridge,3.374748346010104,3.2489720417082295,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep90,SC002,2,GCGR,component_weighted_ridge,-0.03621217265444471,2.108759405221341,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep91,SC002,2,GCGR,component_weighted_ridge,1.3222192947339193,2.141280108405352,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep92,SC002,2,GCGR,component_weighted_ridge,-0.0809219076239261,2.1212105414741482,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep93,SC002,2,GCGR,component_weighted_ridge,0.3242824552976926,1.813949118624159,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep94,SC002,2,GCGR,component_weighted_ridge,0.4424797690644485,2.244168337057955,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep95,SC002,2,GCGR,component_weighted_ridge,2.322219294733919,2.168415529746394,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep96,SC001,1,GCGR,component_weighted_ridge,4.4065401804339555,4.673510859279048,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep97,SC001,1,GCGR,component_weighted_ridge,4.423245873936808,3.8887390297968647,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep98,SC001,1,GCGR,component_weighted_ridge,4.523746466811565,4.295638659021281,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep99,SC001,1,GCGR,component_weighted_ridge,3.8830933585756897,4.295985992735821,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
B,oof_prediction,seq_pep1,SC002,2,GLP-1R,component_weighted_ridge,2.7505083948513462,1.6386856488025805,1.0695780120593172,0.5758268969708659,0.13643655830770862,,,,,,,,
B,oof_prediction,seq_pep10,SC005,3,GLP-1R,component_weighted_ridge,0.367355921026019,0.9181447030930081,1.0695780120593172,0.5758268969708659,0.13643655830770862,,,,,,,,
B,oof_prediction,seq_pep100,SC001,1,GLP-1R,component_weighted_ridge,4.462397997898956,1.416564465299917,1.0695780120593172,0.5758268969708659,0.13643655830770862,,,,,,,,
B,oof_prediction,seq_pep101,SC001,1,GLP-1R,component_weighted_ridge,3.7323937598229686,1.4761101690835032,1.0695780120593172,0.5758268969708659,0.13643655830770862,,,,,,,,
B,oof_prediction,seq_pep102,SC001,1,GLP-1R,component_weighted_ridge,4.445604203273597,1.2390139587582776,1.0695780120593172,0.5758268969708659,0.13643655830770862,,,,,,,,
B,oof_prediction,seq_pep103,SC001,1,GLP-1R,component_weighted_ridge,4.515873843711679,1.256227206544709,1.0695780120593172,0.5758268969708659,0.13643655830770862,,,,,,,,
